,,,,,,
,,,,,,
,ANO,MÊS,Mêsn,ESTADO,COMPARECIMENTO,BOLSAS DE SANGUE
,2016,Dezembro,12,AC,1159,844
,2016,Junho,6,AC,1278,976
,2016,Outubro,10,AC,1314,998
,2016,Setembro,9,AC,1316,1010
,2016,Fevereiro,2,AC,1343,951
,2016,marco,3,AC,1365,990
,2016,Julho,7,AC,1367,1057
,2016,Abril,4,AC,1450,1065
,2016,Novembro,11,AC,1470,1062
,2016,Agosto,8,AC,1542,1152
,2016,Janeiro,1,AC,1571,1146
,2016,Maio,5,AC,1804,1308
,2017,Abril,4,AC,1067,807
,2017,Junho,6,AC,1089,815
,2017,Fevereiro,2,AC,1127,891
,2017,Janeiro,1,AC,1202,947
,2017,marco,3,AC,1316,969
,2017,Agosto,8,AC,1323,1023
,2017,Julho,7,AC,1564,108
,2017,Maio,5,AC,1597,1190
,2017,TOTAL,0,AC,10285,6750
,2016,TOTAL,0,AC,16979,12559
,2016,Dezembro,12,AL,2060,1344
,2016,marco,3,AL,2125,1291
,2016,Fevereiro,2,AL,2129,1441
,2016,Janeiro,1,AL,2156,1398
,2016,Agosto,8,AL,2196,1367
,2016,Julho,7,AL,2262,1463
,2016,Novembro,11,AL,2336,1624
,2016,Outubro,10,AL,2413,1224
,2016,Abril,4,AL,2545,1707
,2016,Setembro,9,AL,2552,1555
,2016,Maio,5,AL,2561,1624
,2016,Junho,6,AL,3086,1843
,2016,TOTAL,0,AL,28421,17881
,2017,Abril,4,AL,1482,931
,2017,Janeiro,1,AL,1983,1280
,2017,Maio,5,AL,2071,1281
,2017,Julho,7,AL,2101,1420
,2017,marco,3,AL,2116,1331
,2017,Fevereiro,2,AL,2192,1486
,2017,Agosto,8,AL,2252,1476
,2017,Junho,6,AL,2377,1520
,2017,TOTAL,0,AL,16574,10725
,2016,Dezembro,12,AM,5394,4101
,2016,Agosto,8,AM,5950,4313
,2016,Setembro,9,AM,6171,4504
,2016,Novembro,11,AM,6174,4598
,2016,Outubro,10,AM,6378,4759
,2016,Julho,7,AM,6557,4798
,2016,Abril,4,AM,6598,4766
,2016,Junho,6,AM,6828,5096
,2016,Fevereiro,2,AM,6952,5071
,2016,marco,3,AM,7324,5285
,2016,Maio,5,AM,7334,5135
,2016,Janeiro,1,AM,7400,5414
,2016,TOTAL,0,AM,79060,57840
,2017,Julho,7,AM,6084,4485
,2017,Janeiro,1,AM,6274,4556
,2017,Abril,4,AM,6405,4725
,2017,Fevereiro,2,AM,6661,5101
,2017,Agosto,8,AM,7053,5263
,2017,Maio,5,AM,7131,5054
,2017,marco,3,AM,7341,5329
,2017,Junho,6,AM,7796,5670
,2017,TOTAL,0,AM,54745,40183
,2016,Fevereiro,2,AP,1193,852
,2016,Outubro,10,AP,1288,855
,2016,Janeiro,1,AP,1441,1059
,2016,Dezembro,12,AP,1484,1058
,2016,marco,3,AP,1522,1107
,2016,Setembro,9,AP,1546,1091
,2016,Julho,7,AP,1630,1176
,2016,Abril,4,AP,1686,1221
,2016,Agosto,8,AP,1707,1247
,2016,Novembro,11,AP,1794,1214
,2016,Maio,5,AP,1868,1320
,2016,Junho,6,AP,2153,1467
,2016,TOTAL,0,AP,19312,13667
,2017,Fevereiro,2,AP,1154,825
,2017,Abril,4,AP,1520,1074
,2017,marco,3,AP,1647,1156
,2017,Julho,7,AP,1653,1102
,2017,Maio,5,AP,1701,1200
,2017,Agosto,8,AP,1742,1175
,2017,Janeiro,1,AP,2027,1428
,2017,Junho,6,AP,2116,1411
,2017,TOTAL,0,AP,13560,9371
,2016,Janeiro,1,BA,10255,7132
,2016,Novembro,11,BA,10526,7703
,2016,Maio,5,BA,12379,8600
,2016,Outubro,10,BA,12482,8766
,2016,Julho,7,BA,12909,9320
,2016,Fevereiro,2,BA,13090,9443
,2016,Abril,4,BA,13437,9445
,2016,Setembro,9,BA,13828,9631
,2016,Junho,6,BA,14034,10171
,2016,marco,3,BA,14270,9905
,2016,Dezembro,12,BA,14714,10698
,2016,Agosto,8,BA,15103,10486
,2016,TOTAL,0,BA,157027,111300
,2017,marco,3,BA,11084,8203
,2017,Maio,5,BA,12032,8825
,2017,Janeiro,1,BA,12453,8975
,2017,Julho,7,BA,13606,9915
,2017,Fevereiro,2,BA,13683,9997
,2017,Abril,4,BA,13984,9983
,2017,Junho,6,BA,14018,10247
,2017,Agosto,8,BA,14207,10206
,2017,TOTAL,0,BA,105067,76351
,2016,Outubro,10,ES,4124,2903
,2016,Setembro,9,ES,4491,3299
,2016,Fevereiro,2,ES,4545,3298
,2016,Maio,5,ES,4566,3389
,2016,Novembro,11,ES,4622,3341
,2016,Abril,4,ES,4881,3584
,2016,Janeiro,1,ES,4906,3484
,2016,Dezembro,12,ES,4925,3637
,2016,Agosto,8,ES,4944,3569
,2016,Julho,7,ES,4973,3623
,2016,marco,3,ES,5331,3906
,2016,Junho,6,ES,5989,4268
,2016,TOTAL,0,ES,58297,42301
,2017,Abril,4,ES,4315,3291
,2017,Julho,7,ES,4395,3282
,2017,Fevereiro,2,ES,4549,3108
,2017,Agosto,8,ES,4923,3692
,2017,Janeiro,1,ES,5202,3757
,2017,marco,3,ES,5625,4141
,2017,Maio,5,ES,5982,4385
,2017,Junho,6,ES,6876,5036
,2017,TOTAL,0,ES,41867,30692
,2016,Outubro,10,GO,1679,1221
,2016,Fevereiro,2,GO,2101,1493
,2016,Agosto,8,GO,2394,1678
,2016,Julho,7,GO,2431,1732
,2016,Setembro,9,GO,2487,1750
,2016,Abril,4,GO,2674,1836
,2016,Maio,5,GO,2766,1912
,2016,marco,3,GO,2779,1944
,2016,Janeiro,1,GO,2896,2033
,2016,Dezembro,12,GO,2965,2161
,2016,Junho,6,GO,3098,2100
,2016,Novembro,11,GO,3436,2472
,2016,TOTAL,0,GO,31706,22332
,2017,Julho,7,GO,1893,1337
,2017,Fevereiro,2,GO,2135,1474
,2017,Janeiro,1,GO,2161,1536
,2017,Abril,4,GO,2350,1670
,2017,marco,3,GO,2540,1755
,2017,Agosto,8,GO,2704,1865
,2017,Junho,6,GO,3355,2361
,2017,Maio,5,GO,4054,2834
,2017,TOTAL,0,GO,21192,14832
,2016,Setembro,9,MS,4910,4481
,2016,Outubro,10,MS,4910,4255
,2016,Fevereiro,2,MS,5230,4528
,2016,marco,3,MS,5552,4855
,2016,Julho,7,MS,5666,5406
,2016,Dezembro,12,MS,5726,4997
,2016,Novembro,11,MS,5829,5051
,2016,Maio,5,MS,5836,5014
,2016,Janeiro,1,MS,6011,5195
,2016,Abril,4,MS,6075,5288
,2016,Agosto,8,MS,6241,5406
,2016,Junho,6,MS,6275,5536
,2016,TOTAL,0,MS,68261,60012
,2017,Abril,4,MS,4721,4111
,2017,Julho,7,MS,5701,4782
,2017,Janeiro,1,MS,5917,5080
,2017,Fevereiro,2,MS,5933,5081
,2017,Agosto,8,MS,6068,4998
,2017,marco,3,MS,6111,5426
,2017,Maio,5,MS,6136,5221
,2017,Junho,6,MS,7125,5869
,2017,TOTAL,0,MS,47712,40568
,2016,Julho,7,PA,7568,6031
,2016,Dezembro,12,PA,9069,7139
,2016,Fevereiro,2,PA,9421,7700
,2016,Agosto,8,PA,9503,7502
,2016,Maio,5,PA,9746,7721
,2016,Janeiro,1,PA,10276,8307
,2016,marco,3,PA,10531,8345
,2016,Setembro,9,PA,10754,8480
,2016,Outubro,10,PA,11175,8773
,2016,Abril,4,PA,11432,8963
,2016,Novembro,11,PA,12466,9851
,2016,Junho,6,PA,14423,11453
,2016,TOTAL,0,PA,126364,100265
,2017,Julho,7,PA,8928,7136
,2017,Abril,4,PA,10282,7964
,2017,Fevereiro,2,PA,10504,8210
,2017,Agosto,8,PA,10710,8406
,2017,Janeiro,1,PA,11054,8474
,2017,marco,3,PA,11154,8281
,2017,Junho,6,PA,11950,9266
,2017,Maio,5,PA,12327,9575
,2017,TOTAL,0,PA,86909,67312
,2016,Janeiro,1,RJ,15712,11847
,2016,Outubro,10,RJ,16047,11966
,2016,Fevereiro,2,RJ,16726,12581
,2016,Dezembro,12,RJ,17083,13033
,2016,Maio,5,RJ,17322,12957
,2016,Novembro,11,RJ,17646,13401
,2016,Abril,4,RJ,18143,13530
,2016,Agosto,8,RJ,18180,13622
,2016,marco,3,RJ,18520,14071
,2016,Setembro,9,RJ,20054,14893
,2016,Julho,7,RJ,20114,14990
,2016,Junho,6,RJ,20306,15261
,2016,TOTAL,0,RJ,215853,162152
,2017,Janeiro,1,RJ,17724,13431
,2017,Maio,5,RJ,19121,14218
,2017,Agosto,8,RJ,19619,14836
,2017,Fevereiro,2,RJ,19672,14760
,2017,marco,3,RJ,20192,15090
,2017,Julho,7,RJ,20401,15234
,2017,Junho,6,RJ,21586,16248
,2017,Abril,4,RJ,22412,16863
,2017,TOTAL,0,RJ,160727,120680
,2016,Setembro,9,RN,5371,3883
,2016,Dezembro,12,RN,5732,4231
,2016,Fevereiro,2,RN,5779,4039
,2016,Agosto,8,RN,5821,4220
,2016,Novembro,11,RN,6269,4410
,2016,Janeiro,1,RN,6373,4703
,2016,Maio,5,RN,6551,4374
,2016,Outubro,10,RN,6670,4704
,2016,marco,3,RN,6710,4617
,2016,Julho,7,RN,6938,5027
,2016,Abril,4,RN,7697,5356
,2016,Junho,6,RN,8239,5779
,2016,TOTAL,0,RN,78150,55343
,2017,Fevereiro,2,RN,5440,4060
,2017,Janeiro,1,RN,5656,4335
,2017,Abril,4,RN,6130,4479
,2017,marco,3,RN,6406,4802
,2017,Maio,5,RN,6530,4767
,2017,Julho,7,RN,6577,4965
,2017,Junho,6,RN,6623,4867
,2017,Agosto,8,RN,6839,4893
,2017,TOTAL,0,RN,50201,37168
,2016,Dezembro,12,RO,2856,2219
,2016,Novembro,11,RO,3128,2379
,2016,Janeiro,1,RO,3172,2470
,2016,Fevereiro,2,RO,3192,2484
,2016,Setembro,9,RO,3291,2530
,2016,Maio,5,RO,3427,2622
,2016,marco,3,RO,3649,2737
,2016,Agosto,8,RO,3720,2778
,2016,Abril,4,RO,3932,2943
,2016,Outubro,10,RO,4033,2973
,2016,Junho,6,RO,4136,3552
,2016,Julho,7,RO,4191,2461
,2016,TOTAL,0,RO,42727,32148
,2017,Abril,4,RO,3001,2179
,2017,Fevereiro,2,RO,3086,2258
,2017,Agosto,8,RO,3524,2719
,2017,Janeiro,1,RO,3534,2633
,2017,Julho,7,RO,3903,2955
,2017,Maio,5,RO,4006,2830
,2017,marco,3,RO,4329,3085
,2017,Junho,6,RO,4431,3202
,2017,TOTAL,0,RO,29814,21861
,2016,Dezembro,12,RR,1155,854
,2016,Maio,5,RR,1218,859
,2016,Fevereiro,2,RR,1253,919
,2016,Outubro,10,RR,1275,935
,2016,Novembro,11,RR,1408,1040
,2016,Setembro,9,RR,1409,994
,2016,Abril,4,RR,1415,1045
,2016,Agosto,8,RR,1499,1066
,2016,Julho,7,RR,1519,1029
,2016,marco,3,RR,1611,1147
,2016,Janeiro,1,RR,1648,1175
,2016,Junho,6,RR,1686,1214
,2016,TOTAL,0,RR,17096,12277
,2017,Fevereiro,2,RR,1195,897
,2017,Abril,4,RR,1247,907
,2017,Janeiro,1,RR,1294,973
,2017,marco,3,RR,1383,960
,2017,Maio,5,RR,1388,1003
,2017,Julho,7,RR,1397,988
,2017,Junho,6,RR,1688,1218
,2017,Agosto,8,RR,1755,1232
,2017,TOTAL,0,RR,11347,8178
,2016,TOTAL,0,RS,142604,112170
,2016,Janeiro,1,RS,10717,8455
,2016,Fevereiro,2,RS,10707,8421
,2016,marco,3,RS,12674,10032
,2016,Abril,4,RS,11878,9463
,2016,Maio,5,RS,11873,9350
,2016,Junho,6,RS,13188,10210
,2016,Julho,7,RS,12665,9996
,2016,Agosto,8,RS,11888,9385
,2016,Setembro,9,RS,11613,9099
,2016,Outubro,10,RS,12228,9590
,2016,Novembro,11,RS,11612,9164
,2016,Dezembro,12,RS,11561,9005
,2017,TOTAL,0,RS,96916,75857
,2017,Janeiro,1,RS,11442,9042
,2017,Fevereiro,2,RS,10341,8007
,2017,marco,3,RS,14303,11168
,2017,Abril,4,RS,10553,8203
,2017,Maio,5,RS,12222,9658
,2017,Junho,6,RS,12968,10236
,2017,Julho,7,RS,12517,9665
,2017,Agosto,8,RS,12570,9878
,2016,Novembro,11,SC,10154,8289
,2016,Janeiro,1,SC,10789,8771
,2016,Maio,5,SC,11092,9006
,2016,Agosto,8,SC,11895,9611
,2016,Setembro,9,SC,11983,9604
,2016,marco,3,SC,12183,9880
,2016,Outubro,10,SC,12493,10174
,2016,Fevereiro,2,SC,12683,10227
,2016,Dezembro,12,SC,12889,10677
,2016,Abril,4,SC,13160,10585
,2016,Junho,6,SC,13213,10667
,2016,Julho,7,SC,13893,11320
,2016,TOTAL,0,SC,146427,118811
,2017,Maio,5,SC,10777,8999
,2017,Janeiro,1,SC,10854,8881
,2017,marco,3,SC,11271,9440
,2017,Agosto,8,SC,11810,9795
,2017,Junho,6,SC,12243,9990
,2017,Fevereiro,2,SC,12445,10235
,2017,Abril,4,SC,12504,10328
,2017,Julho,7,SC,13634,11083
,2017,TOTAL,0,SC,95538,78751
,2016,Novembro,11,CAMPINAS,7524,5793
,2016,Janeiro,1,CAMPINAS,7717,5898
,2016,Maio,5,CAMPINAS,7767,5959
,2016,Dezembro,12,CAMPINAS,7872,6055
,2016,Fevereiro,2,CAMPINAS,8141,6214
,2016,Agosto,8,CAMPINAS,8244,6233
,2016,Setembro,9,CAMPINAS,8431,6482
,2016,Abril,4,CAMPINAS,8443,6431
,2016,Outubro,10,CAMPINAS,8564,6516
,2016,marco,3,CAMPINAS,8654,5741
,2016,Junho,6,CAMPINAS,9399,7042
,2016,Julho,7,CAMPINAS,9759,7324
,2016,TOTAL,0,CAMPINAS,100515,75688
,2017,Abril,4,CAMPINAS,7734,5843
,2017,Fevereiro,2,CAMPINAS,7815,6011
,2017,Maio,5,CAMPINAS,8153,6189
,2017,Janeiro,1,CAMPINAS,8329,6457
,2017,Agosto,8,CAMPINAS,9201,6818
,2017,marco,3,CAMPINAS,9270,7236
,2017,Julho,7,CAMPINAS,9477,7132
,2017,Junho,6,CAMPINAS,11759,8744
,2017,TOTAL,0,CAMPINAS,71738,54430
,2016,Fevereiro,2,RIBEIRAO,8739,6977
,2016,Dezembro,12,RIBEIRAO,8867,7327
,2016,Outubro,10,RIBEIRAO,8975,7289
,2016,Setembro,9,RIBEIRAO,8977,7286
