,,,,,,
,2016,Maio,5,RIBEIRAO,9045,7326
,2016,Agosto,8,RIBEIRAO,9191,7568
,2016,marco,3,RIBEIRAO,9268,7413
,2016,Janeiro,1,RIBEIRAO,9410,7487
,2016,Novembro,11,RIBEIRAO,9712,7905
,2016,Abril,4,RIBEIRAO,9813,7824
,2016,Julho,7,RIBEIRAO,9893,8015
,2016,Junho,6,RIBEIRAO,10799,8538
,2016,TOTAL,0,RIBEIRAO,112689,90955
,2017,Abril,4,RIBEIRAO,8962,7258
,2017,Fevereiro,2,RIBEIRAO,8966,7063
,2017,Janeiro,1,RIBEIRAO,9019,7342
,2017,marco,3,RIBEIRAO,9742,7869
,2017,Julho,7,RIBEIRAO,10003,8186
,2017,Agosto,8,RIBEIRAO,10154,8235
,2017,Maio,5,RIBEIRAO,10637,8651
,2017,Junho,6,RIBEIRAO,11301,9156
,2017,TOTAL,0,RIBEIRAO,78784,63760
,2016,Outubro,10,MARILIA,1208,970
,2016,Maio,5,MARILIA,1233,1010
,2016,Novembro,11,MARILIA,1251,1078
,2016,Setembro,9,MARILIA,1291,1081
,2016,Janeiro,1,MARILIA,1313,1036
,2016,marco,3,MARILIA,1326,1053
,2016,Dezembro,12,MARILIA,1357,1155
,2016,Agosto,8,MARILIA,1377,1168
,2016,Fevereiro,2,MARILIA,1408,1168
,2016,Julho,7,MARILIA,1498,1200
,2016,Abril,4,MARILIA,1592,1316
,2016,Junho,6,MARILIA,1935,1588
,2016,TOTAL,0,MARILIA,16789,13823
,2017,Abril,4,MARILIA,1304,1069
,2017,Fevereiro,2,MARILIA,1342,1123
,2017,Janeiro,1,MARILIA,1356,1162
,2017,Agosto,8,MARILIA,1389,1149
,2017,Junho,6,MARILIA,1578,1308
,2017,Julho,7,MARILIA,1580,1324
,2017,Maio,5,MARILIA,1617,1353
,2017,marco,3,MARILIA,1728,1442
,2017,TOTAL,0,MARILIA,11894,9930
,2016,Janeiro,1,CAPITAL,10975,8469
,2016,Maio,5,CAPITAL,12128,9644
,2016,Outubro,10,CAPITAL,12309,9634
,2016,Setembro,9,CAPITAL,12576,9974
,2016,Fevereiro,2,CAPITAL,12861,10010
,2016,marco,3,CAPITAL,13270,10431
,2016,Agosto,8,CAPITAL,13333,10493
,2016,Abril,4,CAPITAL,13494,10745
,2016,Dezembro,12,CAPITAL,13940,11088
,2016,Novembro,11,CAPITAL,14039,11016
,2016,Julho,7,CAPITAL,14195,11094
,2016,Junho,6,CAPITAL,14912,11465
,2016,TOTAL,0,CAPITAL,158032,124063
,2017,Abril,4,CAPITAL,11794,9262
,2017,Janeiro,1,CAPITAL,12057,9481
,2017,Fevereiro,2,CAPITAL,12759,9883
,2017,Julho,7,CAPITAL,12906,10004
,2017,Agosto,8,CAPITAL,13870,10776
,2017,marco,3,CAPITAL,14252,11118
,2017,Maio,5,CAPITAL,14473,11192
,2017,Junho,6,CAPITAL,15313,11754
,2017,TOTAL,0,CAPITAL,107424,83470
,2016,Janeiro,1,MA,7007,5936
,2016,Maio,5,MA,6914,5831
,2016,Outubro,10,MA,8755,7216
,2016,Setembro,9,MA,7852,6330
,2016,Fevereiro,2,MA,7592,6159
,2016,marco,3,MA,9890,8048
,2016,Agosto,8,MA,7938,6391
,2016,Abril,4,MA,9468,7665
,2016,Dezembro,12,MA,7943,6306
,2016,Novembro,11,MA,8848,7192
,2016,Julho,7,MA,9523,7736
,2016,Junho,6,MA,7030,5779
,2016,TOTAL,0,MA,98760,80589
,2017,Abril,4,MA,6996,5508
,2017,Janeiro,1,MA,7894,6423
,2017,Fevereiro,2,MA,9126,7431
,2017,Julho,7,MA,7545,6003
,2017,Agosto,8,MA,10189,8256
,2017,marco,3,MA,8886,7026
,2017,Maio,5,MA,8340,6523
,2017,Junho,6,MA,11567,9186
,2017,TOTAL,0,MA,70543,56356
,2016,Janeiro,1,MT,5896,4495
,2016,Maio,5,MT,4763,3495
,2016,Outubro,10,MT,4885,3622
,2016,Setembro,9,MT,4478,3279
,2016,Fevereiro,2,MT,5314,3939
,2016,marco,3,MT,4824,3592
,2016,Agosto,8,MT,4605,3510
,2016,Abril,4,MT,4092,3089
,2016,Dezembro,12,MT,4296,3206
,2016,Novembro,11,MT,4240,3146
,2016,Julho,7,MT,4698,3677
,2016,Junho,6,MT,4202,3272
,2016,TOTAL,0,MT,56293,42322
,2017,Abril,4,MT,5618,4273
,2017,Janeiro,1,MT,1293,915
,2017,Fevereiro,2,MT,7485,5960
,2017,Julho,7,MT,4857,3479
,2017,Agosto,8,MT,5099,3723
,2017,marco,3,MT,5391,3804
,2017,Maio,5,MT,4947,3690
,2017,Junho,6,MT,5192,4018
,2017,TOTAL,0,MT,39882,29862
,2016,Janeiro,1,BOTUCATU,1871,1484
,2016,Fevereiro,2,BOTUCATU,1364,1029
,2016,marco,3,BOTUCATU,1850,1462
,2016,Abril,4,BOTUCATU,1214,942
,2016,Maio,5,BOTUCATU,1727,1302
,2016,Junho,6,BOTUCATU,1584,1167
,2016,Julho,7,BOTUCATU,1348,1062
,2016,Agosto,8,BOTUCATU,1957,1495
,2016,Setembro,9,BOTUCATU,1702,1277
,2016,Outubro,10,BOTUCATU,1472,1104
,2016,Novembro,11,BOTUCATU,1531,1151
,2016,Dezembro,12,BOTUCATU,1661,1349
,2016,Total,0,BOTUCATU,19281,14824
,2017,Janeiro,1,BOTUCATU,1129,876
,2017,Fevereiro,2,BOTUCATU,1334,1082
,2017,marco,3,BOTUCATU,1881,1478
,2017,Abril,4,BOTUCATU,1252,961
,2017,Maio,5,BOTUCATU,1501,1189
,2017,Junho,6,BOTUCATU,1438,1147
,2017,Julho,7,BOTUCATU,1683,1364
,2017,Agosto,8,BOTUCATU,1473,1214
,2017,Total,0,BOTUCATU,11691,9311
,2016,Janeiro,1,MG,26346,21125
,2016,Fevereiro,2,MG,31112,24230
,2016,marco,3,MG,31642,24889
,2016,Abril,4,MG,28502,22567
,2016,Maio,5,MG,30657,24232
,2016,Junho,6,MG,30329,24187
,2016,Julho,7,MG,32360,25830
,2016,Agosto,8,MG,32968,26769
,2016,Setembro,9,MG,30013,24330
,2016,Outubro,10,MG,29048,23725
,2016,Novembro,11,MG,28095,22895
,2016,Dezembro,12,MG,32171,26743
,2016,Total,0,MG,363243,291522
,2017,Janeiro,1,MG,31332,25538
,2017,Fevereiro,2,MG,32772,26371
,2017,marco,3,MG,27730,21859
,2017,Abril,4,MG,31530,25316
,2017,Maio,5,MG,28868,23141
,2017,Junho,6,MG,31971,25958
,2017,Julho,7,MG,32614,26202
,2017,Agosto,8,MG,30245,24441
,2017,Total,0,MG,247062,198826
,2016,Janeiro,1,PE,12870,10075
,2016,Fevereiro,2,PE,12352,9730
,2016,marco,3,PE,13925,11091
,2016,Abril,4,PE,14092,10929
,2016,Maio,5,PE,12347,9848
,2016,Junho,6,PE,16280,12885
,2016,Julho,7,PE,14812,11706
,2016,Agosto,8,PE,15093,11753
,2016,Setembro,9,PE,14652,11495
,2016,Outubro,10,PE,14372,11265
,2016,Novembro,11,PE,13035,10498
,2016,Dezembro,12,PE,14016,11390
,2016,Total,0,PE,167846,132665
,2017,Janeiro,1,PE,12108,10007
,2017,Fevereiro,2,PE,16084,12988
,2017,marco,3,PE,12948,10357
,2017,Abril,4,PE,13726,11068
,2017,Maio,5,PE,11837,9710
,2017,Junho,6,PE,15457,12312
,2017,Julho,7,PE,13484,10972
,2017,Agosto,8,PE,14872,12101
,2017,Total,0,PE,110516,89515
,2016,Janeiro,1,SE,2859,2073
,2016,Fevereiro,2,SE,3159,2253
,2016,marco,3,SE,3208,2209
,2016,Abril,4,SE,3741,2648
,2016,Maio,5,SE,3113,2142
,2016,Junho,6,SE,2824,1965
,2016,Julho,7,SE,2757,1933
,2016,Agosto,8,SE,2873,2115
,2016,Setembro,9,SE,2470,1804
,2016,Outubro,10,SE,2949,1922
,2016,Novembro,11,SE,2911,2050
,2016,Dezembro,12,SE,2934,1939
,2016,Total,0,SE,35798,25053
,2017,Janeiro,1,SE,2844,1999
,2017,Fevereiro,2,SE,2872,1942
,2017,marco,3,SE,3153,2227
,2017,Abril,4,SE,2773,1915
,2017,Maio,5,SE,2861,2020
,2017,Junho,6,SE,2816,1946
,2017,Julho,7,SE,2792,2032
,2017,Agosto,8,SE,2721,2038
,2017,Total,0,SE,22832,16119
,2016,Janeiro,1,PI,5882,4912
,2016,Fevereiro,2,PI,5123,4360
,2016,marco,3,PI,5244,4173
,2016,Abril,4,PI,5982,4395
,2016,Maio,5,PI,5374,4395
,2016,Junho,6,PI,5679,4667
,2016,Julho,7,PI,5215,4354
,2016,Agosto,8,PI,5921,5027
,2016,Setembro,9,PI,5759,4594
,2016,Outubro,10,PI,4784,3878
,2016,Novembro,11,PI,5914,4873
,2016,Dezembro,12,PI,4154,3366
,2016,Total,0,PI,65031,52994
,2017,Janeiro,1,PI,5496,4317
,2017,Fevereiro,2,PI,4932,4106
,2017,marco,3,PI,5040,4146
,2017,Abril,4,PI,5456,4410
,2017,Maio,5,PI,6211,4926
,2017,Junho,6,PI,5460,4421
,2017,Julho,7,PI,5640,4688
,2017,Agosto,8,PI,6670,5345
,2017,Total,0,PI,44905,36359
,2016,Janeiro,1,CE,12336,9102
,2016,Fevereiro,2,CE,12087,8632
,2016,marco,3,CE,14446,10631
,2016,Abril,4,CE,13567,9989
,2016,Maio,5,CE,11989,8659
,2016,Junho,6,CE,13146,9705
,2016,Julho,7,CE,13015,9661
,2016,Agosto,8,CE,11480,8461
,2016,Setembro,9,CE,12909,9512
,2016,Outubro,10,CE,10959,8100
,2016,Novembro,11,CE,13210,9985
,2016,Dezembro,12,CE,10594,8022
,2016,Total,0,CE,149738,110459
,2017,Janeiro,1,CE,12725,9285
,2017,Fevereiro,2,CE,10597,7853
,2017,marco,3,CE,12154,9096
,2017,Abril,4,CE,10751,8048
,2017,Maio,5,CE,12250,9001
,2017,Junho,6,CE,12317,9009
,2017,Julho,7,CE,12834,9460
,2017,Agosto,8,CE,13099,9549
,2017,Total,0,CE,96727,71301
,2016,Janeiro,1,BSB,6986,5263
,2016,Fevereiro,2,BSB,5585,4252
,2016,marco,3,BSB,6004,4535
,2016,Abril,4,BSB,7089,5428
,2016,Maio,5,BSB,6173,4653
,2016,Junho,6,BSB,6742,5048
,2016,Julho,7,BSB,5948,4511
,2016,Agosto,8,BSB,6417,4747
,2016,Setembro,9,BSB,7034,5181
,2016,Outubro,10,BSB,5767,4510
,2016,Novembro,11,BSB,5803,4471
,2016,Dezembro,12,BSB,6838,5186
,2016,Total,0,BSB,76386,57785
,2017,Janeiro,1,BSB,6419,4518
,2017,Fevereiro,2,BSB,5953,4247
,2017,marco,3,BSB,6585,4764
,2017,Abril,4,BSB,6003,4386
,2017,Maio,5,BSB,6072,4602
,2017,Junho,6,BSB,7085,5229
,2017,Julho,7,BSB,5593,4139
,2017,Agosto,8,BSB,6025,4666
,2017,Total,0,BSB,49735,36551
,2016,Janeiro,1,PR,15913,13270
,2016,Fevereiro,2,PR,16541,13708
,2016,marco,3,PR,18735,15547
,2016,Abril,4,PR,17683,14257
,2016,Maio,5,PR,16440,13567
,2016,Junho,6,PR,20046,15381
,2016,Julho,7,PR,17108,14068
,2016,Agosto,8,PR,18471,14667
,2016,Setembro,9,PR,17326,13633
,2016,Outubro,10,PR,15808,12924
,2016,Novembro,11,PR,18799,14672
,2016,Dezembro,12,PR,17859,14083
,2016,Total,0,PR,210729,169777
,2017,Janeiro,1,PR,16034,12703
,2017,Fevereiro,2,PR,13909,11412
,2017,marco,3,PR,17935,14380
,2017,Abril,4,PR,13970,11237
,2017,Maio,5,PR,16274,13148
,2017,Junho,6,PR,18416,14768
,2017,Julho,7,PR,16662,13390
,2017,Agosto,8,PR,17610,14089
,2017,Total,0,PR,130810,105127
,2016,Janeiro,1,PB,7860,6217
,2016,Fevereiro,2,PB,8047,6238
,2016,marco,3,PB,9622,7257
,2016,Abril,4,PB,8399,6400
,2016,Maio,5,PB,8798,6333
,2016,Junho,6,PB,8348,6256
,2016,Julho,7,PB,8858,6598
,2016,Agosto,8,PB,8967,6607
,2016,Setembro,9,PB,8376,6313
,2016,Outubro,10,PB,8037,6073
,2016,Novembro,11,PB,8319,6344
,2016,Dezembro,12,PB,7338,5693
,2016,Total,0,PB,100969,76329
,2017,Janeiro,1,PB,8133,6604
,2017,Fevereiro,2,PB,7597,6169
,2017,marco,3,PB,9661,7639
,2017,Abril,4,PB,7665,6095
,2017,Maio,5,PB,9788,7525
,2017,Junho,6,PB,8536,6527
,2017,Julho,7,PB,9099,7133
,2017,Agosto,8,PB,9662,7575
,2017,Total,0,PB,70141,55267
,2016,Janeiro,1,SJRP,3319,2925
,2016,Fevereiro,2,SJRP,3038,2581
,2016,marco,3,SJRP,3201,2761
,2016,Abril,4,SJRP,3944,3300
,2016,Maio,5,SJRP,3543,2969
,2016,Junho,6,SJRP,3937,3305
,2016,Julho,7,SJRP,3473,3012
,2016,Agosto,8,SJRP,3014,2622
,2016,Setembro,9,SJRP,3935,3153
,2016,Outubro,10,SJRP,3963,3290
,2016,Novembro,11,SJRP,3544,2971
,2016,Dezembro,12,SJRP,3384,2893
,2016,Total,0,SJRP,42295,35782
,2017,Janeiro,1,SJRP,3262,2728
,2017,Fevereiro,2,SJRP,3281,2680
,2017,marco,3,SJRP,3615,2954
,2017,Abril,4,SJRP,4241,3473
,2017,Maio,5,SJRP,3324,2793
,2017,Junho,6,SJRP,4271,3355
,2017,Julho,7,SJRP,3757,3079
,2017,Agosto,8,SJRP,3249,2722
,2017,Total,0,SJRP,29000,23784
,2016,Janeiro,1,TO,,1417
,2016,Fevereiro,2,TO,,2157
,2016,marco,3,TO,,1825
,2016,Abril,4,TO,,1782
,2016,Maio,5,TO,,2003
,2016,Junho,6,TO,,2119
,2016,Julho,7,TO,,1609
,2016,Agosto,8,TO,,1913
,2016,Setembro,9,TO,,1401
,2016,Outubro,10,TO,,1982
,2016,Novembro,11,TO,,1846
,2016,Dezembro,12,TO,,2130
,2016,Total,0,TO,,22184
,2017,Janeiro,1,TO,,1684
,2017,Fevereiro,2,TO,,2473
,2017,marco,3,TO,,1918
,2017,Abril,4,TO,,1986
,2017,Maio,5,TO,,1895
,2017,Junho,6,TO,,1998
,2017,Julho,7,TO,,2034
,2017,Agosto,8,TO,,1935
,2017,Total,0,TO,,15923
